1,7.41548285235254e-10
2,7.40245669416443e-10
3,7.38943053597633e-10
4,7.38182986183483e-10
5,7.36337821960013e-10
6,7.35035206141203e-10
7,7.33732590322393e-10
8,7.32972522908243e-10
9,7.31127358684773e-10
10,7.29824742865962e-10
11,7.28522127047152e-10
12,7.27219511228342e-10
13,7.25916895409532e-10
14,7.25156827995382e-10
15,7.23311663771912e-10
16,7.22009047953101e-10
17,7.21248980538952e-10
18,7.19403816315481e-10
19,7.18101200496671e-10
20,7.17883681487181e-10
21,7.15495968859051e-10
22,7.14193353040241e-10
23,7.1289073722143e-10
24,7.12673218211941e-10
25,7.1028550558381e-10
26,7.10329995582219e-10
27,7.0822282235085e-10
28,7.0692020653204e-10
29,7.0561759071323e-10
30,7.0485752329908e-10
31,7.0409745588493e-10
32,7.0225229166146e-10
33,7.0203477265197e-10
34,6.99647060023839e-10
35,6.9997208941901e-10
36,6.97584376790879e-10
37,6.96824309376729e-10
38,6.94436596748599e-10
39,6.93133980929789e-10
40,6.92373913515639e-10
41,6.91071297696829e-10
42,6.91938875496659e-10
43,6.89008614463868e-10
44,6.87705998645058e-10
45,6.86945931230908e-10
46,6.86728412221419e-10
47,6.84340699593288e-10
48,6.82214995973056e-10
49,6.80650371146347e-10
50,6.80694861144757e-10
51,6.79672784722707e-10
52,6.78370168903898e-10
53,6.78695198299068e-10
54,6.77392582480258e-10
55,6.75266878860026e-10
56,6.72617157223997e-10
57,6.71857089809847e-10
58,6.71639570800357e-10
59,6.69251858172226e-10
60,6.69034339162736e-10
61,6.69359368557907e-10
62,6.68318761746996e-10
63,6.65126491706306e-10
64,6.63543336490735e-10
65,6.63606356878006e-10
66,6.60395556448455e-10
67,6.59916028431066e-10
68,6.61588163643455e-10
69,6.58395893602766e-10
70,6.59525480410495e-10
71,6.54705565155825e-10
72,6.56901718384013e-10
73,6.55075084549405e-10
74,6.53772468730594e-10
75,6.50037650285245e-10
76,6.52514342910194e-10
77,6.47974967052284e-10
78,6.48824014463253e-10
79,6.45912283819324e-10
80,6.48388976444274e-10
81,6.48189987823646e-10
82,6.43894090584774e-10
83,6.43676571575284e-10
84,6.39923222741072e-10
85,6.38096588906463e-10
86,6.42200926745393e-10
87,6.37923559895383e-10
88,6.37163492481233e-10
89,6.3773200049544e-10
90,6.34015712438952e-10
91,6.31627999810822e-10
92,6.32776117007414e-10
93,6.30650413387182e-10
94,6.30975442782353e-10
95,6.29934835971441e-10
96,6.27565653732173e-10
97,6.27610143730582e-10
98,6.23332776880572e-10
99,6.25285451489723e-10
100,6.2179411166341e-10
101,6.21314583646021e-10
102,6.2027397683511e-10
103,6.22226651444261e-10
104,6.22551680839432e-10
105,6.2123053463176e-10
106,6.2209811243159e-10
107,6.18082754589479e-10
108,6.1462847554089e-10
109,6.14672965539299e-10
110,6.15016525323332e-10
111,6.12329742909578e-10
112,6.10783648471731e-10
113,6.0920049325616e-10
114,6.1087262846855e-10
115,6.08484915840419e-10
116,6.06396272997912e-10
117,6.06964781012119e-10
118,6.09160934240307e-10
119,6.02451364763757e-10
120,6.03599481960349e-10
121,6.05515095791776e-10
122,6.01555329116251e-10
123,6.02404376527219e-10
124,6.00278672906988e-10
125,5.96824393858399e-10
126,6.0012417428477e-10
127,5.9395715321288e-10
128,5.93459094806629e-10
129,5.93485054416176e-10
130,5.92462977994127e-10
131,5.92245458984637e-10
132,5.92027939975147e-10
133,5.88573660926558e-10
134,5.87271045107748e-10
135,5.89186658939175e-10
136,5.90054236739006e-10
137,5.81193004032677e-10
138,5.82341121229269e-10
139,5.82105071830917e-10
140,5.81869022432566e-10
141,5.80584937002617e-10
142,5.80872905620064e-10
143,5.78802793166418e-10
144,5.79371301180625e-10
145,5.81847993805575e-10
146,5.75156954717887e-10
147,5.73031251097655e-10
148,5.75227404325844e-10
149,5.75308955101976e-10
150,5.72640703077085e-10
151,5.74050829281576e-10
152,5.72711152685041e-10
153,5.68470846612755e-10
154,5.71490087642365e-10
155,5.69102375014234e-10
156,5.67238680401902e-10
157,5.64607489154734e-10
158,5.64932518549905e-10
159,5.65239017556213e-10
160,5.65283507554622e-10
161,5.61305210490235e-10
162,5.6482993914678e-10
163,5.61394190487054e-10
164,5.64656910135701e-10
165,5.55814207818234e-10
166,5.53931982817039e-10
167,5.58054851044831e-10
168,5.55405129408801e-10
169,5.55468149796072e-10
170,5.58992878452618e-10
171,5.49888167127252e-10
172,5.54797062378741e-10
173,5.5186680134595e-10
174,5.49497619106682e-10
175,5.49822648501852e-10
176,5.47154396476961e-10
177,5.47217416864232e-10
178,5.45091713244001e-10
179,5.46483309059629e-10
180,5.44114126820361e-10
181,5.43878077422009e-10
182,5.43922567420418e-10
183,5.43705048410929e-10
184,5.44030077806099e-10
185,5.43775498018885e-10
186,5.37364998327958e-10
187,5.39579681945008e-10
188,5.36948490697841e-10
189,5.38864104529268e-10
190,5.35952373885339e-10
191,5.37044899915345e-10
192,5.31176948629078e-10
193,5.32587074833569e-10
194,5.28833725999356e-10
195,5.28335667593106e-10
196,5.31055838837092e-10
197,5.34636158660223e-10
198,5.24446350525537e-10
199,5.28794166983504e-10
200,5.23992782117695e-10
201,5.21361590870528e-10
202,5.24624310519174e-10
203,5.23882773493887e-10
204,5.23945793881158e-10
205,5.24215232109742e-10
206,5.23473695084454e-10
207,5.18111231425124e-10
208,5.17893712415634e-10
209,5.19565847628024e-10
210,5.2039636465013e-10
211,5.19337227450357e-10
212,5.14535842584549e-10
213,5.18134692796543e-10
214,5.13576786549771e-10
215,5.13414858706867e-10
